id,team,gained_lp,interval_winrate
김구거#0207,OKSavingsBank BRION [GuGer],-6,50%
박투신#KR1,[TusiN],-6,46%
미북이#KR1,LNG Esports [Scout],-7,50%
Creative Self#KR1,[Piglet],-7,33%
The BE4st#KR1,[Beast],-8,43%
귀찮게하지마#KR3,Gen.G [Ruler],-9,50%
Raise#8067,[Raise],-11,33%
asdjipadsjip#KR1,CTBC Flying Oyster [JunJia],-12,43%
Ghost#장드래곤준,[Ghost],-12,45%
DK ShowMaker#KR1,Dplus KIA [ShowMaker],-13,36%
지지오오앤지#KR1,VSG (Korean Team) [Ggoong],-14,45%
SofM#viet,[Wyvern],-15,0%
기 선#0527,Rascal Jester [Secret],-15,0%
라꼴통#KR1,[Ragan],-15,40%
La La Land#라라랜드,[Listo],-18,50%
DK Sharvel#KR1,Dplus KIA Challengers [Sharvel],-18,50%
Levy#COIN,OKSavingsBank BRION [Ellim],-21,48%
By 불비#KR1,[FireRain],-25,42%
CCrazy#KR1,Galatasaray Esports [Crazy],-25,43%
Verit4s#KR1,[Veritas],-28,0%
Ace#jha,[Ace],-35,0%
Juhana#DRX25,DRX [Juhan],-36,46%
커피주세요#4729,[Zzus],-37,25%
물레방아#BRO,OKSavingsBank BRION [Clozer],-40,31%
골근40체지10#1995,[Chaser],-40,0%
PETER#KR1,KT Rolster [Peter],-41,44%
T1 Gumayusi#KR1,T1 [Gumayusi],-41,46%
Hide on bush#KR1,T1 [Faker],-42,45%
태 윤#KDF,DN Freecs [Taeyoon],-46,45%
qwercvx#KR0,[Nugget],-46,46%
Lehends#KR1,NS RedForce [Lehends],-49,20%
Pooh#KR5,Hanwha Life Esports Academy [Poo],-50,0%
흠 그러게요#けんきょ,[Dice],-50,42%
Loopy#1813,[Loopy],-50,0%
qweasdqweasdqw#KR1,Top Esports [JackeyLove],-51,45%
aierlanlaozhu#KR1,JD Gaming [Flandre],-52,41%
Edge#4561,[Edge],-52,0%
qsxmiocmio#KR1,Top Esports [369],-60,38%
알빠노메일이태영#0415,DN Freecs [BuLLDoG],-66,57%
알파몽#1024,[Alphamong],-66,0%
Asper#KR2,[Asper],-68,43%
Flow#0116,Talon [Betty],-71,29%
바들바들동물콘#4992,NS RedForce [Fisher],-72,43%
FA holder#KR2,[Holder],-75,0%
달인 카직스#KR1,[Dalka],-78,14%
diuepoti#qesdf,KT Rolster [PerfecT],-79,43%
썸썸데이#KR1,100 Thieves [Ssumday],-82,0%
Bell Park#KR1,[BlisS],-84,17%
a Lilac#2739,[Lilac],-84,17%
Selfless#KR11,[Envyy],-85,42%
민 주#3108,NS RedForce Academy [Calix],-86,45%
I have a candy#KR2,[Cpt Jack],-88,47%
따개비루#Toye,Gen.G Academy [Toye],-95,41%
인천물주먹#인천사람,OKSavingsBank BRION [Clozer],-102,0%
Pollu#0107,OKSavingsBank BRION [Pollu],-103,33%
Blue#KR33,Hanwha Life Esports [Viper],-108,33%
EDG WiNK#CN1,[joker],-112,42%
DooTi#7762,BNK FEARX Youth [DooTi],-115,36%
Punch#kr98,[Punch],-120,25%
TT SeTab#2025,DRX [SeTab],-126,36%
Immortal#RPG1,[PlanB],-127,31%
Heart#KR1,[Doinb],-137,42%
xinsuixiaogou#6666,CTBC Flying Oyster [Doggo],-139,30%
DK Siwoo#DKtop,Dplus KIA [Siwoo],-144,37%
재훈이의모함#OMG,Dplus KIA [Moham],-153,37%
JUGKlNG#kr,Gen.G [Canyon],-156,17%
三 畜#369,[Ben],-162,37%
Guti#0409,[Guti],-168,43%
Spring sonata#KR1,Hanwha Life Esports [Mowgli],-174,0%
콩할이#1004,[Thal],-176,35%
비비드#비비드,[viviD],-178,28%
검은머리사나이#KR1,[Fly],-196,44%
qazwsx#abc,[Art],-238,39%
검주니어#0001,[Oscar],-247,35%
노 루#T 1,[NoRoo],-251,0%
청포도육포#KR1,Fukuoka SoftBank Hawks Gaming [Courage],-283,67%
아오 플쌤#KR1,[Flame],-300,0%
무 무#ann,Oh My God [cold],-300,0%
메가 영재#1116,KT Rolster Challengers [YoungJae],-301,37%
Eurooo#1228,[Euro],-396,0%
Lonely#829,KaBuM! eSports [Lonely],-450,0%
