id,team,gained_lp,interval_winrate
1 cent top#KR1,Team Vitality [Photon],0,0%
온 봄#KR1,[Choyul],0,0%
땅만안짚으면되지#ian,[Ian],0,0%
Mla3#123,Estral Esports [Mia],0,0%
진철수아빠#KR1,[Mystic],0,0%
아이스팀 加油#미르짱돌,[Test Sup],0,0%
MOVING#KOREA,Royal Never Give Up [Xiaobai],0,0%
허락했어요#KR1,Ninjas in Pyjamas [shanji],0,0%
탑원거리#KR123,DRX [Rich],0,0%
모짜렐라인더버거베이컨베이컨추가#KR0,Gen.G Challengers [Ophelia],0,0%
DRX ucal#2025,DRX [Ucal],0,0%
대충살기#a2m31,[Rascal],0,0%
반집승부사#KR1,[ALL IN],0,0%
바람부는언덕위에#Jimin,[Meaning],0,0%
원딜둥이#112,[Leo],0,0%
사신이에오#KR1,[SaSin],0,0%
귀찮은사람#KR4,[Space],0,0%
银河有迹可寻#8101,FunPlus Phoenix [milkyway],0,0%
산나물박#KR1,[Sweet],0,0%
YouShouldKnowMe#duiff,Ninjas in Pyjamas [shanji],-5,0%
Always be crying#KR1,NS RedForce [Lehends],-5,0%
Ping9#qwerr,[Ping9],-6,33%
a Lilac#2739,[Lilac],-7,50%
Cube#KR11,[Cube],-8,50%
상욱Ryu#KR1,BNK FEARX [Clear],-9,52%
세이미#0924,[Saymi],-10,0%
LSB Diable#KR1,BNK FEARX [Diable],-10,0%
我们的时光#0716,Ninjas in Pyjamas [Zero],-10,20%
재미가없구나#lol,[DoRun],-11,25%
Aggro#KR2,[Aggro],-12,0%
숟가락전사#12345,KT Rolster Challengers [Zinie],-13,85%
김구거#0207,OKSavingsBank BRION [GuGer],-15,50%
만찬가#822,Fukuoka SoftBank Hawks Gaming [FATE],-15,50%
Karis#KR4,[Karis],-16,49%
아구몬#0509,KT Rolster [Bdd],-16,42%
ABCooN#abc,[CooN],-17,29%
메가 영재#1116,KT Rolster Challengers [YoungJae],-17,50%
SofM#viet,[Wyvern],-20,0%
Lukalux#KR1,[LukaLux],-20,0%
시계깎는노인#1988,[NoFe],-22,44%
Verit4s#KR1,[Veritas],-23,20%
관 모#KR2,T1 Challengers [Guwon],-23,50%
T1 Smash#KR3,T1 [Smash],-24,54%
난벌레곰팡이다#1111,[CloudTemplar],-26,46%
inSec#KR1,[inSec],-27,47%
Creative Self#KR1,[Piglet],-29,36%
Saint#KR0,Dplus KIA Challengers [Saint],-30,0%
Smash#KR14,FunPlus Phoenix [milkyway],-32,44%
올차단유저#약오르지,[FLahm],-32,45%
SPIRIT#0701,[Spirit],-37,49%
ShowMaker#DKDK,Dplus KIA [ShowMaker],-37,0%
흠 그러게요#けんきょ,[Dice],-42,48%
달인 카직스#KR1,[Dalka],-43,35%
썸썸데이#KR1,100 Thieves [Ssumday],-48,48%
88151139del#KR1,Ninjas in Pyjamas [ppgod],-50,0%
DEULDEUL#KR1,[DeuL],-50,0%
ShrimpVicious#KR1,[Shrimp],-50,0%
asdasdzzxacc#KR1,[Zet],-50,0%
쪼잔하게 굴지마#KR1,[으아아앙],-50,0%
바들바들동물콘#4992,NS RedForce [Fisher],-57,49%
멍란1#yaha,NS RedForce Academy [Carim],-63,50%
Ace#jha,[Ace],-65,50%
재훈이의모함#OMG,Dplus KIA [Moham],-66,50%
La La Land#라라랜드,[Listo],-68,50%
Flow#0116,Talon [Betty],-71,29%
쭌 베#KR1,[Bay],-74,45%
Immortal#RPG1,[PlanB],-77,48%
골근40체지10#1995,[Chaser],-80,0%
폭삭늙음#삼대떡,[Ambition],-82,49%
DooTi#7762,BNK FEARX Youth [DooTi],-84,49%
三 畜#369,[Ben],-91,49%
짱 구#Zero,[Zzanggu],-97,45%
DK Sharvel#KR1,Dplus KIA Challengers [Sharvel],-99,50%
Pooh#KR5,Hanwha Life Esports Academy [Poo],-100,0%
Loopy#1813,[Loopy],-100,0%
모든세상이피스#KR2,[dndn],-100,0%
smit4#kr4,Gen.G Academy [Nyx],-100,0%
Happy#day12,KT Rolster [Peter],-104,0%
Life ls Fast#KR1,[Nuclear],-104,56%
Selfless#KR11,[Envyy],-109,47%
손가락 발가락#KR2,[SoaR],-110,0%
커피주세요#4729,[Zzus],-110,41%
우르프rider#KR1,[Soul],-115,39%
정재이스#617,[Phantom],-116,0%
알파몽#1024,[Alphamong],-116,0%
Willer#2003,BNK FEARX Youth [Willer],-129,53%
이러지마세요#8505,5 Ronin [Hoon],-132,0%
Punch#kr98,[Punch],-132,46%
스컬지#K T,KT Rolster [deokdam],-134,50%
qsxmiocmio#KR1,Top Esports [369],-138,46%
xinsuixiaogou#6666,CTBC Flying Oyster [Doggo],-139,30%
DRX Catch#KR2,[Catch],-139,45%
sanghyxxn#KR1,[Kabbie],-148,0%
해강고 원딜#KR1,[Gango],-165,0%
마지막발악#Mimic,[Mimic],-168,0%
gongjianshou98#KR1,[Archer],-173,0%
Spring sonata#KR1,Hanwha Life Esports [Mowgli],-177,100%
점수다이어트#0209,[Clowz],-185,47%
기 선#0527,Rascal Jester [Secret],-187,37%
리퀴드 코어장전#KR1,Team Liquid [CoreJJ],-200,0%
김김김#KR2,Anyone's Legend [Croco],-201,58%
민 주#3108,NS RedForce Academy [Calix],-205,47%
노 루#T 1,[NoRoo],-223,54%
Asper#KR2,[Asper],-225,45%
이자하#KR5,Kwangdong Freecs Challengers [Lancer],-234,41%
와하항#kr0,OKSavingsBank BRION [HamBak],-264,43%
라쿤99#KR1,[Racoon],-285,49%
Teddy#sss,DRX [Teddy],-291,47%
UmTi#602,Team Liquid [UmTi],-300,0%
따개비루#Toye,Gen.G Academy [Toye],-321,43%
Minit#0203,[Minit],-331,60%
아오 플쌤#KR1,[Flame],-333,0%
인천물주먹#인천사람,OKSavingsBank BRION [Clozer],-347,38%
무 무#ann,Oh My God [cold],-365,0%
맘순이#이뻐해줘,Dplus KIA Academy [Celina],-372,46%
Hichael Dackson#0625,[HighDin],-373,50%
diuepoti#qesdf,KT Rolster [PerfecT],-400,46%
Castle#Jo1,Immortals [Castle],-417,0%
Flashback#KR2,[GIDEON],-433,0%
Eurooo#1228,[Euro],-523,23%
CHF Jimien#111,Chiefs Esports Club [Mir],-527,0%
FA holder#KR2,[Holder],-531,35%
청포도육포#KR1,Fukuoka SoftBank Hawks Gaming [Courage],-615,33%
Chasy#KR1,MAD Lions KOI [Chasy],-620,0%
C9 Thanatos#KR2,Dplus KIA Challengers [Thanatos],-628,0%
Baut#0330,Hanwha Life Esports Challengers [Baut],-722,0%
우 태#KR2,Movistar R7 [Summit],-737,0%
Lonely#829,KaBuM! eSports [Lonely],-754,36%
LAST DANCE#0310,[CheonGo],-813,0%
Quad#123,FlyQuest Challengers [Quad],-850,0%
C9 Loki#kr2,Hanwha Life Esports Challengers [Loki],N/A,0%
냐하하#2698,[Keine],N/A,0%
알빠노메일이태영#0415,DN Freecs [BuLLDoG],N/A,64%
pupuouo#KR1,[imp],N/A,0%
